MeasureName,Aliases,Domain,Business Capability,Capability Description,Capability Confidence,Measure Description,Evidence / Source Excerpt
D Total Late Quantity,Total Late Quantity,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily total quantity fulfilled late, providing granular operational visibility into delivery performance deviations.",D Total Late Quantity for daily late delivery tracking
Previous Forecast at DFU_LC,P(X-1)F Forecast,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Prior cycle forecast at DFU level in local currency, enabling cycle-over-cycle financial forecast change analysis.",P(X-1)F Forecast LC for prior cycle financial forecast tracking
Forecast Last Cycle,Fcst Last Cycle,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Forecast value from the most recently completed planning cycle, used as the baseline for measuring consensus adjustment changes.",Fcst Last Cycle for most recent cycle forecast comparison
Forecast Last Cycle,Fcst Last Cycle,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Forecast value from the most recently completed planning cycle, used as the baseline for measuring consensus adjustment changes.",Fcst Last Cycle for most recent cycle forecast comparison
Fcst NR LC,,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Forecast net revenue expressed in local currency, enabling LC-level financial planning and cross-currency consolidation.",Fcst NR LC for local currency financial forecast
W Demand Quantity LC,LC Total Demand,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Total weekly demand quantity expressed in local currency, supporting LC-level supply plan financial reconciliation.",LC Total Demand for local currency demand quantity tracking
W Demand Quantity LC,LC Total Demand,Demand Planning,Financial & Revenue Forecasting,Converts volume forecasts into net revenue and financial outputs to support P&L and commercial planning.,HIGH,"Total weekly demand quantity expressed in local currency, supporting LC-level supply plan financial reconciliation.",LC Total Demand for local currency demand quantity tracking
D Demand Fill Rate,Demand Fill Rate,Supply Planning,Demand Fulfillment & Order Management,"Tracks customer demand satisfaction by monitoring on-time, short, and late fulfillment quantities at weekly and daily granularity.",HIGH,"Daily ratio of demand met on time to total demand, providing granular daily customer service level performance measurement.",D Demand Fill Rate for daily customer service performance
WD Current Year,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,Working days count for the current year used in demand normalization and calendar-adjusted planning calculations.,WD Current Year for working day normalization
WD Following Year,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,Working days count for the following year used in forward-looking demand normalization and planning horizon calculations.,WD Following Year for forward planning normalization
WD (Current Year vs Last Year),,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,"Working day differential between current and last year, used to adjust year-over-year comparisons for calendar effects.",WD CY vs LY for calendar-adjusted YoY comparisons
WD (Current Year vs Last Year),,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",MEDIUM,"Working day differential between current and last year, used to adjust year-over-year comparisons for calendar effects.",WD CY vs LY for calendar-adjusted YoY comparisons
WD Last Year,,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,Working days count for the prior year used to normalize last year's demand data for calendar-adjusted comparisons.,WD Last Year for prior year calendar normalization
WD (Following Year vs Current Year),,Demand Planning,Planning Metadata & Administration,"Captures administrative and configuration metadata supporting planning governance, audit trails, and system administration.",MEDIUM,"Working day differential between following and current year, used in forward-looking planning horizon calendar adjustments.",WD FY vs CY for forward horizon calendar adjustment
Best Estimate vs Previous Forecast at DFU,Best Estimate vs Previous Forecast,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Variance metric comparing the current best estimate to the prior cycle forecast at DFU level, measuring consensus forecast evolution.",Best Estimate vs Previous Forecast for cycle change analysis
Best Estimate vs Previous Forecast at DFU,Best Estimate vs Previous Forecast,Demand Planning,Collaborative Demand Planning & Consensus,"Supports cross-functional collaboration to review, adjust, and finalize demand forecasts through structured override and consensus workflows.",HIGH,"Variance metric comparing the current best estimate to the prior cycle forecast at DFU level, measuring consensus forecast evolution.",Best Estimate vs Previous Forecast for cycle change analysis
ST Adjusted Fcst vs AOP at DFU,ST Adjusted Fcst vs AOP,Demand Planning,Forecast Performance Measurement,"Measures forecast quality through bias, fill rate, cycle-over-cycle change, and error metrics to drive continuous improvement.",HIGH,"Variance between the short-term adjusted forecast and the AOP target at DFU level, enabling gap-to-plan identification.",ST Adjusted Fcst vs AOP for short-term plan gap tracking
